texto_mensaje,clase_emergencia
"Tormenta eléctrica severa, cayó rayo en {zona}",desastre_natural
"Casa en llamas en Guadalupe, hay gente adentro",incendio
Inundación en casa por lluvia torrencial en Benito Juárez,desastre_natural
Agresión con arma de fuego en {zona},violencia
"Inhalación de gas en cocina, varios afectados",intoxicacion
Auto se salió del camino en curva de Durango-Parral,accidente
"Incendio en mi casa en Hidalgo, mucho humo",incendio
"Asalto en la calle Florida, me golpearon",violencia
Asalto a transporte público en ruta 1,violencia
"Sobredosis de analgésicos, está inconsciente",intoxicacion
Hemorragia nasal que no para desde hace una hora,medica
"Depresión severa, pensamientos de suicidio",crisis_emocional
"Fuga de gas en Insurgentes, huele muy fuerte",otra
"Volcadura de taxi en México, pasajeros atrapados",accidente
"Fuga de gas en casa, me siento mareado",intoxicacion
"Choque contra poste en Aquiles Serdán, conductor atrapado",accidente
Mi abuela tiene diabetes y se desmayó,medica
Estructura en riesgo de colapso en recámara,otra
"Crisis emocional grave, no puedo controlar mi llanto",crisis_emocional
Fuego en lote con basura en Guadalupe,incendio
Incendio eléctrico en transformador de Juárez,incendio
"Volcadura en la carretera a Mazatlán, necesito ambulancia",accidente
"Me corté profundo con navaja, estoy sangrando mucho",medica
"Cables de luz caídos en Bruno Martínez, hay chispas",otra
"Fuga de gas en Jardines de Durango, huele muy fuerte",otra
"Granizada muy fuerte, rompió techos en {zona}",desastre_natural
Asalto a transporte público en ruta 1,violencia
"Crisis nerviosa después de muerte de familiar, necesito ayuda",crisis_emocional
Robo violento en cajero automático de HSBC,violencia
"Crisis después de asalto, estoy en shock",crisis_emocional
Socavón en Florida por las lluvias,desastre_natural
Mi esposo tiene diabetes y se desmayó,medica
"Pánico incontrolable, mi corazón late muy rápido",crisis_emocional
Reacción alérgica severa a queso,intoxicacion
Poste de luz a punto de caerse en Ciénega,otra
Ansiedad extrema después de perder mi trabajo,crisis_emocional
"Pánico incontrolable, mi corazón late muy rápido",crisis_emocional
Poste de luz a punto de caerse en El Calvario,otra
"Convulsiones en escaleras, necesito una ambulancia",medica
Fractura después de caída desde escalera,medica
Hundimiento en pavimento de Heroico Colegio Militar,otra
"Posible infarto, dolor en brazo izquierdo y pecho",medica
Crisis de estrés postraumático,crisis_emocional
"Fuga de gas en casa, me siento mareado",intoxicacion
"Incendio en vehículo en 20 de Noviembre, hay riesgo de explosión",incendio
"Crisis después de asalto, estoy en shock",crisis_emocional
Auto se salió del camino en curva de Durango-Zacatecas,accidente
"Asalto a mano armada en {zona}, me robaron con violencia",violencia
Inundación severa en Gobernadores por las lluvias,desastre_natural
"Depresión severa, pensamientos de suicidio",crisis_emocional
"Accidente de motocicleta en Predio Rústico, el conductor está grave",accidente
"Volcadura de taxi en Las Rosas, pasajeros atrapados",accidente
"Presión arterial muy alta, me duele la cabeza horrible",medica
Reacción alérgica severa a mariscos,intoxicacion
"Pánico incontrolable, mi corazón late muy rápido",crisis_emocional
