texto_usuario,intent
Hay un incendio cerca de mi casa ayuda,incendio
Estoy muy ansioso y no sé qué hacer.,apoyo_emocional
Alguien está actuando de forma violenta ayuda,violencia
Fuego en la cocina no puedo apagarlo,incendio
"Necesito ayuda médica urgente, me siento muy mal.",emergencia_medica
Hubo un choque en la calle ahora,accidente
Hay un accidente grave.,accidente
Solo quiero reportar algo extraño,otro
Creo que me están siguiendo por favor,violencia
Estoy muy ansioso y no sé qué hacer.,apoyo_emocional
¿Cómo puedo pedir una ambulancia?,info_general
Solo quería hacer una consulta rápida por favor,sin_urgencia
Quiero saber qué hacer en una emergencia,info_general
No sé qué está pasando urgente,otro
Se está quemando un edificio ayuda,incendio
¿Cuál es el número de emergencias? ayuda,info_general
Hay un incendio cerca de mi casa ayuda,incendio
Alguien se cayó muy fuerte,accidente
Hubo un choque en la calle urgente,accidente
Estoy pasando por un momento difícil ayuda,apoyo_emocional
¿Cuál es el número de emergencias? por favor,info_general
¿Cuál es el número de emergencias? ayuda,info_general
No me siento bien necesito hablar con alguien ahora,apoyo_emocional
Estoy en peligro me están amenazando.,violencia
No estoy seguro si esto es emergencia por favor,otro
Alguien se cayó muy fuerte,accidente
Hubo un choque en la calle por favor,accidente
Tengo una duda pequeña,sin_urgencia
Alguien se cayó muy fuerte.,accidente
No estoy seguro si esto es emergencia ayuda,otro
Es algo raro no sé a quién acudir por favor,otro
Estoy en peligro me están amenazando ayuda,violencia
Estoy pasando por un momento difícil ahora,apoyo_emocional
Tengo una duda pequeña.,sin_urgencia
Creo que me están siguiendo,violencia
"Necesito ayuda médica urgente, me siento muy mal.",emergencia_medica
Creo que me están siguiendo ahora,violencia
Fuego en la cocina no puedo apagarlo urgente,incendio
Solo quiero reportar algo extraño ahora,otro
"Necesito ayuda médica urgente, me siento muy mal ayuda",emergencia_medica
Me siento solo necesito apoyo,apoyo_emocional
Estoy pasando por un momento difícil.,apoyo_emocional
No sé qué está pasando ayuda,otro
Estoy muy ansioso y no sé qué hacer ahora,apoyo_emocional
Se está quemando un edificio ayuda,incendio
Un auto acaba de volcar por favor,accidente
Alguien está actuando de forma violenta ahora,violencia
Necesito información sobre seguridad,info_general
Se está quemando un edificio por favor,incendio
Hubo un choque en la calle.,accidente
Hay un incendio cerca de mi casa ayuda,incendio
No sé qué está pasando ahora,otro
Estoy en peligro me están amenazando ayuda,violencia
Es algo raro no sé a quién acudir por favor,otro
No es urgente pero necesito orientación ahora,sin_urgencia
Alguien se cayó muy fuerte urgente,accidente
Necesito información sobre seguridad ahora,info_general
No sé qué está pasando.,otro
Hubo un choque en la calle por favor,accidente
Hay una persona inconsciente aquí ahora,emergencia_medica
Hubo un choque en la calle,accidente
Hay una persona inconsciente aquí,emergencia_medica
Creo que estoy teniendo un ataque algo no está bien,emergencia_medica
Alguien se cayó muy fuerte ayuda,accidente
Es algo raro no sé a quién acudir ahora,otro
Creo que me están siguiendo.,violencia
No estoy seguro si esto es emergencia.,otro
Hay un incendio cerca de mi casa ayuda,incendio
Tengo una duda pequeña urgente,sin_urgencia
"Nada grave, solo preguntando ayuda",sin_urgencia
"Necesito ayuda médica urgente, me siento muy mal",emergencia_medica
Tengo una duda pequeña,sin_urgencia
Un auto acaba de volcar.,accidente
Es algo raro no sé a quién acudir urgente,otro
Hay una pelea fuerte aquí necesito ayuda urgente,violencia
Hubo un choque en la calle urgente,accidente
Hay un incendio cerca de mi casa ayuda,incendio
"Necesito ayuda médica urgente, me siento muy mal.",emergencia_medica
Creo que me están siguiendo urgente,violencia
Es algo raro no sé a quién acudir urgente,otro
Hay una persona inconsciente aquí urgente,emergencia_medica
Necesito una ambulancia rápido por favor,emergencia_medica
Solo quiero reportar algo extraño urgente,otro
Es algo raro no sé a quién acudir.,otro
Estoy muy ansioso y no sé qué hacer,apoyo_emocional
Creo que estoy teniendo un ataque algo no está bien,emergencia_medica
Necesito una ambulancia rápido ahora,emergencia_medica
Alguien está actuando de forma violenta ahora,violencia
Estoy viendo mucho humo necesito ayuda,incendio
Estoy viendo mucho humo necesito ayuda urgente,incendio
Estoy viendo mucho humo necesito ayuda ahora,incendio
"Necesito ayuda médica urgente, me siento muy mal urgente",emergencia_medica
Quiero saber qué hacer en una emergencia.,info_general
¿Cuál es el número de emergencias? por favor,info_general
No es urgente pero necesito orientación ayuda,sin_urgencia
Estoy pasando por un momento difícil por favor,apoyo_emocional
Hay un incendio cerca de mi casa urgente,incendio
Hay un incendio cerca de mi casa ahora,incendio
Alguien se cayó muy fuerte.,accidente
¿Cómo puedo pedir una ambulancia?.,info_general
Quiero saber qué hacer en una emergencia.,info_general
Solo quiero reportar algo extraño ahora,otro
Creo que estoy teniendo un ataque algo no está bien ayuda,emergencia_medica
Estoy viendo mucho humo necesito ayuda por favor,incendio
Hay un incendio cerca de mi casa ayuda,incendio
Hay una pelea fuerte aquí necesito ayuda por favor,violencia
Alguien se cayó muy fuerte.,accidente
Estoy pasando por un momento difícil por favor,apoyo_emocional
"Necesito ayuda médica urgente, me siento muy mal ayuda",emergencia_medica
Tengo una duda pequeña,sin_urgencia
Creo que estoy teniendo un ataque algo no está bien.,emergencia_medica
Estoy muy ansioso y no sé qué hacer ayuda,apoyo_emocional
No estoy seguro si esto es emergencia ahora,otro
"Necesito ayuda médica urgente, me siento muy mal",emergencia_medica
Alguien está actuando de forma violenta por favor,violencia
Creo que me están siguiendo.,violencia
Creo que estoy teniendo un ataque algo no está bien por favor,emergencia_medica
Creo que estoy teniendo un ataque algo no está bien.,emergencia_medica
Hubo un choque en la calle por favor,accidente
No es urgente pero necesito orientación.,sin_urgencia
Estoy en peligro me están amenazando urgente,violencia
Hay una persona inconsciente aquí ayuda,emergencia_medica
Necesito información sobre seguridad ayuda,info_general
Alguien se cayó muy fuerte.,accidente
Fuego en la cocina no puedo apagarlo,incendio
Es algo raro no sé a quién acudir.,otro
Solo quiero reportar algo extraño por favor,otro
Un auto acaba de volcar,accidente
Hay un accidente grave por favor,accidente
No me siento bien necesito hablar con alguien por favor,apoyo_emocional
Necesito información sobre seguridad ayuda,info_general
¿Cómo puedo pedir una ambulancia?,info_general
Estoy muy ansioso y no sé qué hacer ahora,apoyo_emocional
No me siento bien necesito hablar con alguien,apoyo_emocional
Tengo una duda pequeña ayuda,sin_urgencia
Necesito información sobre seguridad ahora,info_general
Fuego en la cocina no puedo apagarlo ahora,incendio
Alguien se cayó muy fuerte,accidente
Solo quería hacer una consulta rápida ahora,sin_urgencia
Alguien se cayó muy fuerte urgente,accidente
Se está quemando un edificio ahora,incendio
¿Cómo puedo pedir una ambulancia? ayuda,info_general
Me siento solo necesito apoyo ayuda,apoyo_emocional
Tengo una duda pequeña urgente,sin_urgencia
Estoy muy ansioso y no sé qué hacer.,apoyo_emocional
"Nada grave, solo preguntando ayuda",sin_urgencia
Hay una pelea fuerte aquí necesito ayuda urgente,violencia
Creo que estoy teniendo un ataque algo no está bien por favor,emergencia_medica
Hay un accidente grave ahora,accidente
Necesito información sobre seguridad urgente,info_general
Es algo raro no sé a quién acudir ahora,otro
Es algo raro no sé a quién acudir ayuda,otro
Se está quemando un edificio ahora,incendio
¿Cómo puedo pedir una ambulancia?.,info_general
Estoy muy ansioso y no sé qué hacer.,apoyo_emocional
Alguien está actuando de forma violenta,violencia
Hay un accidente grave ahora,accidente
Fuego en la cocina no puedo apagarlo urgente,incendio
Hay un accidente grave urgente,accidente
No es urgente pero necesito orientación.,sin_urgencia
"Necesito ayuda médica urgente, me siento muy mal urgente",emergencia_medica
Un auto acaba de volcar ayuda,accidente
No sé qué está pasando ahora,otro
Hubo un choque en la calle urgente,accidente
Creo que me están siguiendo ayuda,violencia
Necesito información sobre seguridad ahora,info_general
"Nada grave, solo preguntando.",sin_urgencia
No estoy seguro si esto es emergencia por favor,otro
Alguien se cayó muy fuerte ahora,accidente
Es algo raro no sé a quién acudir por favor,otro
No sé qué está pasando ayuda,otro
Estoy muy ansioso y no sé qué hacer por favor,apoyo_emocional
Quiero saber qué hacer en una emergencia ahora,info_general
Estoy viendo mucho humo necesito ayuda.,incendio
Hay un accidente grave ayuda,accidente
Estoy en peligro me están amenazando,violencia
"Nada grave, solo preguntando por favor",sin_urgencia
No estoy seguro si esto es emergencia,otro
Hay un accidente grave urgente,accidente
Necesito una ambulancia rápido urgente,emergencia_medica
Creo que estoy teniendo un ataque algo no está bien por favor,emergencia_medica
"Nada grave, solo preguntando ahora",sin_urgencia
Hay un accidente grave.,accidente
Estoy pasando por un momento difícil urgente,apoyo_emocional
Necesito una ambulancia rápido por favor,emergencia_medica
No es urgente pero necesito orientación urgente,sin_urgencia
Alguien está actuando de forma violenta urgente,violencia
"Necesito ayuda médica urgente, me siento muy mal ayuda",emergencia_medica
No es urgente pero necesito orientación urgente,sin_urgencia
Alguien está actuando de forma violenta por favor,violencia
Tengo una duda pequeña.,sin_urgencia
Solo quiero reportar algo extraño por favor,otro
Tengo una duda pequeña urgente,sin_urgencia
No me siento bien necesito hablar con alguien urgente,apoyo_emocional
"Necesito ayuda médica urgente, me siento muy mal por favor",emergencia_medica
Hubo un choque en la calle ayuda,accidente
"Necesito ayuda médica urgente, me siento muy mal.",emergencia_medica
Hubo un choque en la calle ahora,accidente
Estoy en peligro me están amenazando.,violencia
No sé qué está pasando ahora,otro
Hay un accidente grave ayuda,accidente
Me siento solo necesito apoyo.,apoyo_emocional
Estoy viendo mucho humo necesito ayuda por favor,incendio
Hay un incendio cerca de mi casa por favor,incendio
"Nada grave, solo preguntando ayuda",sin_urgencia
Hubo un choque en la calle ahora,accidente
Hubo un choque en la calle ayuda,accidente
No me siento bien necesito hablar con alguien ahora,apoyo_emocional
Creo que estoy teniendo un ataque algo no está bien ahora,emergencia_medica
Tengo una duda pequeña,sin_urgencia
¿Cómo puedo pedir una ambulancia? urgente,info_general
No sé qué está pasando urgente,otro
Necesito información sobre seguridad ayuda,info_general
Creo que me están siguiendo.,violencia
Estoy pasando por un momento difícil urgente,apoyo_emocional
Tengo una duda pequeña por favor,sin_urgencia
Hubo un choque en la calle por favor,accidente
Es algo raro no sé a quién acudir urgente,otro
Tengo una duda pequeña,sin_urgencia
Solo quiero reportar algo extraño.,otro
Es algo raro no sé a quién acudir por favor,otro
Me siento solo necesito apoyo por favor,apoyo_emocional
No me siento bien necesito hablar con alguien ahora,apoyo_emocional
Hubo un choque en la calle.,accidente
"Nada grave, solo preguntando ahora",sin_urgencia
Hay un accidente grave ayuda,accidente
No estoy seguro si esto es emergencia,otro
Se está quemando un edificio.,incendio
No es urgente pero necesito orientación por favor,sin_urgencia
Necesito información sobre seguridad ahora,info_general
Necesito información sobre seguridad ayuda,info_general
Quiero saber qué hacer en una emergencia ayuda,info_general
Solo quiero reportar algo extraño por favor,otro
Estoy muy ansioso y no sé qué hacer,apoyo_emocional
Alguien se cayó muy fuerte,accidente
Estoy en peligro me están amenazando.,violencia
Solo quiero reportar algo extraño ayuda,otro
No me siento bien necesito hablar con alguien.,apoyo_emocional
Estoy muy ansioso y no sé qué hacer por favor,apoyo_emocional
Hay una pelea fuerte aquí necesito ayuda,violencia
Hay una pelea fuerte aquí necesito ayuda,violencia
Creo que estoy teniendo un ataque algo no está bien ayuda,emergencia_medica
Creo que me están siguiendo,violencia
Creo que estoy teniendo un ataque algo no está bien urgente,emergencia_medica
No estoy seguro si esto es emergencia por favor,otro
Alguien está actuando de forma violenta por favor,violencia
No sé qué está pasando,otro
"Nada grave, solo preguntando",sin_urgencia
Hay una persona inconsciente aquí.,emergencia_medica
