nombre,tipo,latitud,longitud
Centro de Salud #1,Centro de Salud,23.925002151044534,-104.69499413632619
Bomberos #2,Bomberos,23.94790758570503,-104.7295009647657
Centro de Salud #3,Centro de Salud,24.038098502489806,-104.74364346410366
Centro de Salud #4,Centro de Salud,23.96372759496072,-104.64892894237933
Hospital #5,Hospital,24.032249012587723,-104.60679607741552
Clínica #6,Clínica,23.96408812440814,-104.63214686322482
Hospital #7,Hospital,24.07176147342595,-104.71806813672463
Clínica #8,Clínica,23.988050103303596,-104.71890410003765
Centro Médico #9,Centro Médico,23.94044205530397,-104.67401453987254
Centro Médico #10,Centro Médico,24.08949887326949,-104.62925479372663
Hospital #11,Hospital,24.065946357338763,-104.64275438170907
Clínica #12,Clínica,23.93576003961569,-104.69136434371859
Centro Médico #13,Centro Médico,24.03547042905135,-104.60908563275702
Hospital #14,Hospital,24.052252663713542,-104.59538633184226
Centro de Salud #15,Centro de Salud,24.091063544203028,-104.57670326664895
Clínica #16,Clínica,23.975594720622016,-104.62286311114713
Centro Médico #17,Centro Médico,23.952530819431217,-104.6789458599545
Refugio para Mujeres #18,Refugio para Mujeres,24.06036406269171,-104.61329046689268
Centro de Salud #19,Centro de Salud,24.041826201133397,-104.71577227036039
Bomberos #20,Bomberos,23.952680498752386,-104.67410891164847
Bomberos #21,Bomberos,24.056922850197974,-104.58142961596204
Hospital #22,Hospital,23.96580961439282,-104.7435799512192
Centro Médico #23,Centro Médico,24.000232957404464,-104.7367622789577
Centro Médico #24,Centro Médico,23.96252530881083,-104.65015374810154
Atención Psicológica #25,Atención Psicológica,23.94857431808841,-104.7220739360949
Refugio para Mujeres #26,Refugio para Mujeres,24.06940276233045,-104.66431323454108
Clínica #27,Clínica,23.99239928874272,-104.55053484440218
Policía #28,Policía,24.02190525873529,-104.73181811756524
Hospital #29,Hospital,24.092220581933333,-104.71943173613036
Policía #30,Policía,24.078415872872593,-104.66556800664007
Centro de Salud #31,Centro de Salud,23.9969534623349,-104.63082231432779
Atención Psicológica #32,Atención Psicológica,24.025822869019827,-104.55578432447729
Hospital #33,Hospital,24.056056682051302,-104.72708965140326
Refugio para Mujeres #34,Refugio para Mujeres,24.073719746531488,-104.6819649053938
Refugio para Mujeres #35,Refugio para Mujeres,24.00695305013382,-104.65925525873416
Refugio para Mujeres #36,Refugio para Mujeres,24.11437761977402,-104.59760756018959
Centro de Salud #37,Centro de Salud,24.094103713967353,-104.69031104171027
Bomberos #38,Bomberos,23.950567853709927,-104.59749783998498
Hospital #39,Hospital,24.039788916892046,-104.65227885839421
Centro de Salud #40,Centro de Salud,24.105819723252925,-104.57425562443537
Refugio para Mujeres #41,Refugio para Mujeres,23.96789046206761,-104.70182568151056
Centro de Salud #42,Centro de Salud,23.937130690413575,-104.65280190733668
Centro de Salud #43,Centro de Salud,24.115596898735465,-104.6434587660941
Policía #44,Policía,23.945678292899952,-104.65494352438026
Policía #45,Policía,23.97301132578801,-104.57551339178295
Clínica #46,Clínica,24.11287258120149,-104.56421730139957
Bomberos #47,Bomberos,24.062589794563824,-104.67020154000052
Centro Médico #48,Centro Médico,24.0076200167829,-104.64648483179289
Centro de Salud #49,Centro de Salud,23.9695811227332,-104.73719482073474
Hospital #50,Hospital,24.037661743691448,-104.70397705348068
Bomberos #51,Bomberos,23.921438167797017,-104.60843181069032
Hospital #52,Hospital,23.965788356762232,-104.56891599739878
Centro Médico #53,Centro Médico,23.93417146997773,-104.7023990731262
Atención Psicológica #54,Atención Psicológica,23.962847361474086,-104.723537630255
Atención Psicológica #55,Atención Psicológica,23.968599448479143,-104.65540541141108
Clínica #56,Clínica,23.958081982872375,-104.73061383715424
Clínica #57,Clínica,23.99085951331791,-104.66777954479006
Hospital #58,Hospital,24.05467290945866,-104.55316695772682
Centro de Salud #59,Centro de Salud,23.932122534815402,-104.60435728231177
Centro de Salud #60,Centro de Salud,23.969731266784056,-104.71195821831185
Atención Psicológica #61,Atención Psicológica,23.948036459418955,-104.71330239284256
Atención Psicológica #62,Atención Psicológica,23.96996128957642,-104.5653468801448
Atención Psicológica #63,Atención Psicológica,24.08160444894634,-104.57880662150633
Centro de Salud #64,Centro de Salud,23.930117665904977,-104.55014350631745
Hospital #65,Hospital,24.11379925145695,-104.56472660339838
Bomberos #66,Bomberos,23.95326222212078,-104.65287177490987
Bomberos #67,Bomberos,24.09293007880604,-104.56951142689789
Policía #68,Policía,23.995794623795383,-104.55293823124406
